Name,Country,Sector,Industry
AACG,ATA Creativity Global American Depositary Shares,China,Real Estate,Other Consumer Services
AACI,Armada Acquisition Corp. I Common Stock,United States,Finance,Blank Checks
AACIU,Armada Acquisition Corp. I Unit,United States,Finance,Blank Checks
AACIW,Armada Acquisition Corp. I Warrant,United States,Finance,Blank Checks
AADI,Aadi Bioscience Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
AAGR,African Agriculture Holdings Inc. Common Stock,United States,Consumer Staples,Farming/Seeds/Milling
AAGRW,African Agriculture Holdings Inc. Warrant,United States,Consumer Staples,Farming/Seeds/Milling
AAL,American Airlines Group Inc. Common Stock,United States,Consumer Discretionary,Air Freight/Delivery Services
AAME,Atlantic American Corporation Common Stock,United States,Finance,Life Insurance
AAOI,Applied Optoelectronics Inc. Common Stock,United States,Technology,Semiconductors
AAON,AAON Inc. Common Stock,United States,Industrials,Industrial Machinery/Components
AAPL,Apple Inc. Common Stock,United States,Technology,Computer Manufacturing
ABAT,American Battery Technology Company Common Stock,United States,Basic Materials,Metal Mining
ABCL,AbCellera Biologics Inc. Common Shares,Canada,Health Care,Pharmaceuticals and Biotechnology
ABEO,Abeona Therapeutics Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
ABIO,ARCA biopharma Inc. Common Stock,United States,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
ABL,Abacus Life Inc. Class A Common Stock,United States,Finance,Investment Managers
ABLLL,Abacus Life Inc. 9.875% Fixed Rate Senior Notes due 2028,United States,Finance,Investment Managers
ABLLW,Abacus Life Inc. Warrant,United States,Finance,Investment Managers
ABLV,Able View Global Inc. Class B Ordinary Shares,China,Consumer Discretionary,Other Consumer Services
ABNB,Airbnb Inc. Class A Common Stock,United States,Finance,Diversified Commercial Services
ABOS,Acumen Pharmaceuticals Inc. Common Stock,United States,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ABSI,Absci Corporation Common Stock,United States,Health Care,Biotechnology: Commercial Physical & Biological Resarch
ABTS,Abits Group Inc Ordinary Shares,China,Technology,Computer Software: Programming Data Processing
ABUS,Arbutus Biopharma Corporation Common Stock,Canada,Health Care,Biotechnology: Pharmaceutical Preparations
ABVC,ABVC BioPharma Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
ABVE,Above Food Ingredients Inc. Common Stock,Canada,Consumer Staples,Packaged Foods
ABVEW,Above Food Ingredients Inc. Warrants,Canada,Consumer Staples,Packaged Foods
ABVX,Abivax SA American Depositary Shares,France,Utilities,Electric Utilities: Central
ACAB,Atlantic Coastal Acquisition Corp. II Class A Common Stock,United States,Finance,Blank Checks
ACABW,Atlantic Coastal Acquisition Corp. II Warrant,United States,Finance,Blank Checks
ACAC,Acri Capital Acquisition Corporation Class A Common Stock,United States,Finance,Blank Checks
ACACW,Acri Capital Acquisition Corporation Warrant,United States,Finance,Blank Checks
ACAD,ACADIA Pharmaceuticals Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
ACB,Aurora Cannabis Inc. Common Shares,Canada,Health Care, Medicinal Chemicals and Botanical Products 
ACCD,Accolade Inc. Common Stock,United States,Consumer Discretionary,Business Services
ACDC,ProFrac Holding Corp. Class A Common Stock,United States,Energy,Oilfield Services/Equipment
ACET,Adicet Bio Inc. Common Stock ,United States,Health Care,Biotechnology: Pharmaceutical Preparations
ACGL,Arch Capital Group Ltd. Common Stock,Bermuda,Finance,Property-Casualty Insurers
ACGLN,Arch Capital Group Ltd. Depositary Shares each Representing a 1/1000th Interest in a 4.550% Non-Cumulative Preferred Share Series G,Bermuda,Finance,Property-Casualty Insurers
ACGLO,Arch Capital Group Ltd. Depositary Shares Each Representing 1/1000th Interest in a Share of 5.45% Non-Cumulative Preferred Shares Series F,Bermuda,Finance,Property-Casualty Insurers
ACHC,Acadia Healthcare Company Inc. Common Stock,United States,Health Care,Medical Specialities
ACHL,Achilles Therapeutics plc American Depositary Shares,United Kingdom,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ACHV,Achieve Life Sciences Inc. Common Shares,United States,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
ACIC,American Coastal Insurance Corporation Common Stock,United States,Finance,Property-Casualty Insurers
ACIU,AC Immune SA Common Stock,Switzerland,Health Care,Biotechnology: Pharmaceutical Preparations
ACIW,ACI Worldwide Inc. Common Stock,United States,Technology,Computer Software: Prepackaged Software
ACLS,Axcelis Technologies Inc. Common Stock,United States,Technology,Industrial Machinery/Components
ACLX,Arcellx Inc. Common Stock,United States,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ACMR,ACM Research Inc. Class A Common Stock,United States,Technology,Industrial Machinery/Components
ACNB,ACNB Corporation Common Stock,United States,Finance,Major Banks
ACNT,Ascent Industries Co. Common Stock,United States,Industrials,Steel/Iron Ore
ACON,Aclarion Inc. Common Stock,United States,Health Care,Medical Specialities
ACRS,Aclaris Therapeutics Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
ACRV,Acrivon Therapeutics Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
ACST,Acasti Pharma Inc. Class A Common Stock,Canada,Health Care,Biotechnology: Pharmaceutical Preparations
ACT,Enact Holdings Inc. Common Stock,United States,Finance,Specialty Insurers
ACTG,Acacia Research Corporation (Acacia Tech) Common Stock,United States,Miscellaneous,Multi-Sector Companies
ACVA,ACV Auctions Inc. Class A Common Stock,United States,Consumer Discretionary,Business Services
ACXP,Acurx Pharmaceuticals Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
ADAG,Adagene Inc. American Depositary Shares,China,Health Care,Biotechnology: Pharmaceutical Preparations
ADAP,Adaptimmune Therapeutics plc American Depositary Shares,United Kingdom,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ADBE,Adobe Inc. Common Stock,United States,Technology,Computer Software: Prepackaged Software
ADD,Color Star Technology Co. Ltd. Class A Ordinary Shares,United States,Consumer Discretionary,Engineering & Construction
ADEA,Adeia Inc. Common Stock,United States,Technology,Computer Software: Prepackaged Software
ADGM,Adagio Medical Holdings Inc Common Stock,United States,Health Care,Medical/Dental Instruments
ADI,Analog Devices Inc. Common Stock,United States,Technology,Semiconductors
ADIL,Adial Pharmaceuticals Inc Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
ADMA,ADMA Biologics Inc Common Stock,United States,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ADN,Advent Technologies Holdings Inc. Class A Common Stock,United States,Miscellaneous,Industrial Machinery/Components
ADNWW,Advent Technologies Holdings Inc. Warrant,United States,Miscellaneous,Industrial Machinery/Components
ADP,Automatic Data Processing Inc. Common Stock,United States,Technology,EDP Services
ADPT,Adaptive Biotechnologies Corporation Common Stock,United States,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ADSE,ADS-TEC ENERGY PLC Ordinary Shares,Ireland,Consumer Discretionary,Industrial Specialties
ADSEW,ADS-TEC ENERGY PLC Warrant,Ireland,Consumer Discretionary,Industrial Specialties
ADSK,Autodesk Inc. Common Stock,United States,Technology,Computer Software: Prepackaged Software
ADTN,ADTRAN Holdings Inc. Common Stock,United States,Utilities,Telecommunications Equipment
ADTX,Aditxt Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
ADUS,Addus HomeCare Corporation Common Stock,United States,Health Care,Medical/Nursing Services
ADV,Advantage Solutions Inc. Class A Common Stock,United States,Consumer Discretionary,Business Services
ADVM,Adverum Biotechnologies Inc. Common Stock,United States,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ADVWW,Advantage Solutions Inc. Warrant,United States,Consumer Discretionary,Business Services
ADXN,Addex Therapeutics Ltd American Depositary Shares,Switzerland,Health Care,Biotechnology: Pharmaceutical Preparations
AEAE,AltEnergy Acquisition Corp. Class A Common Stock,United States,Finance,Blank Checks
AEAEU,AltEnergy Acquisition Corp. Unit,United States,Finance,Blank Checks
AEHL,Antelope Enterprise Holdings Limited Class A Ordinary Shares,China,Industrials,Building Materials
AEHR,Aehr Test Systems Common Stock,United States,Industrials,Electrical Products
AEI,Alset Inc. Common Stock (TX),United States,Finance,Real Estate
AEIS,Advanced Energy Industries Inc. Common Stock,United States,Technology,Industrial Machinery/Components
AEMD,Aethlon Medical Inc. Common Stock,United States,Health Care,Medical/Dental Instruments
AENT,Alliance Entertainment Holding Corporation Class A Common Stock,United States,Consumer Discretionary,Durable Goods
AENTW,Alliance Entertainment Holding Corporation Warrants,United States,Consumer Discretionary,Durable Goods
AEP,American Electric Power Company Inc. Common Stock,United States,Utilities,Electric Utilities: Central
AERT,Aeries Technology Inc. Class A Ordinary Share,United States,Consumer Discretionary,Professional Services
AEYE,AudioEye Inc. Common Stock,United States,Technology,Computer Software: Prepackaged Software
AFBI,Affinity Bancshares Inc. Common Stock (MD),United States,Finance,Banks
AFCG,AFC Gamma Inc. Common Stock,United States,Finance,Real Estate
AFJK,Aimei Health Technology Co. Ltd Ordinary Share,United States,,
AFMD,Affimed N.V.,Germany,Health Care,Biotechnology: Pharmaceutical Preparations
AFRI,Forafric Global PLC Ordinary Shares,Gibraltar,Consumer Staples,Packaged Foods
AFRIW,Forafric Global PLC Warrants,Gibraltar,Consumer Staples,Packaged Foods
AFRM,Affirm Holdings Inc. Class A Common Stock,United States,Finance,Finance: Consumer Services
AFYA,Afya Limited Class A Common Shares,Brazil,Real Estate,Other Consumer Services
AGAE,Allied Gaming & Entertainment Inc. Common Stock,United States,Consumer Discretionary,Services-Misc. Amusement & Recreation
AGBA,AGBA Group Holding Limited Ordinary Share,Hong Kong,Finance,Investment Managers
AGBAW,AGBA Group Holding Limited Warrant,Hong Kong,Finance,Investment Managers
AGEN,Agenus Inc. Common Stock,United States,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AGFY,Agrify Corporation Common Stock,United States,Consumer Staples,Farming/Seeds/Milling
AGIO,Agios Pharmaceuticals Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
AGMH,AGM Group Holdings Inc. Class A Ordinary Shares,Hong Kong,Technology,EDP Services
AGNC,AGNC Investment Corp. Common Stock,United States,Real Estate,Real Estate Investment Trusts
AGNCL,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 7.75% Series G Fixed-Rate Reset Cumulative Redeemable Preferred Stock,United States,Real Estate,Real Estate Investment Trusts
AGNCM,AGNC Investment Corp. Depositary Shares rep 6.875% Series D Fixed-to-Floating Cumulative Redeemable Preferred Stock,United States,Real Estate,Real Estate Investment Trusts
AGNCN,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 7.00% Series C Fixed-To-Floating Rate Cumulative Redeemable Preferred Stock,United States,Real Estate,Real Estate Investment Trusts
AGNCO,AGNC Investment Corp. Depositary Shares each representing a 1/1000th interest in a share of 6.50% Series E Fixed-to-Floating Cumulative Redeemable Preferred Stock,United States,Real Estate,Real Estate Investment Trusts
AGNCP,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 6.125% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock,United States,Real Estate,Real Estate Investment Trusts
AGRI,AgriFORCE  Growing Systems Ltd. Common Shares,Canada,Industrials,Metal Fabrications
AGYS,Agilysys Inc. Common Stock (DE),United States,Technology,EDP Services
AHCO,AdaptHealth Corp. Common Stock,United States,Health Care,Medical/Nursing Services
AHG,Akso Health Group ADS,China,Consumer Discretionary,Business Services
AIEV,Thunder Power Holdings Inc. Common Stock,United States,Consumer Discretionary,Auto Manufacturing
AIHS,Senmiao Technology Limited Common Stock,China,Finance,Finance: Consumer Services
AILE,iLearningEngines Inc. Common Stock,United States,Technology,Computer Software: Prepackaged Software
AILEW,iLearningEngines Inc. Warrant,United States,Technology,Computer Software: Prepackaged Software
AIMAU,Aimfinity Investment Corp. I Unit,United States,Finance,Blank Checks
AIMAW,Aimfinity Investment Corp. I Warrant,United States,Finance,Blank Checks
AIMBU,Aimfinity Investment Corp. I Subunit,United States,Finance,Blank Checks
AIMD,Ainos Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
AIOT,PowerFleet Inc. Common Stock,United States,Telecommunications,Telecommunications Equipment
AIP,Arteris Inc. Common Stock,United States,Technology,Semiconductors
AIRE,reAlpha Tech Corp. Common Stock,United States,Finance,Real Estate
AIRG,Airgain Inc. Common Stock,United States,Technology,Radio And Television Broadcasting And Communications Equipment
AIRJ,Montana Technologies Corporation Class A Common Stock,United States,Industrials,Industrial Machinery/Components
AIRJW,Montana Technologies Corporation Warrant,United States,Industrials,Industrial Machinery/Components
AIRS,AirSculpt Technologies Inc. Common Stock,United States,Health Care,Medical/Nursing Services
AIRT,Air T Inc. Common Stock,United States,Consumer Discretionary,Air Freight/Delivery Services
AIRTP,Air T Inc. Air T Funding Alpha Income Trust Preferred Securities,United States,Consumer Discretionary,Air Freight/Delivery Services
AISP,Airship AI Holdings Inc. Class A Common Stock,United States,Technology,Computer Software: Prepackaged Software
AISPW,Airship AI Holdings Inc. Warrants,United States,Technology,Computer Software: Prepackaged Software
AITR,AI TRANSPORTATION ACQUISITION CORP Ordinary shares,United States,,
AIXI,XIAO-I Corporation American Depositary Shares,China,Technology,Computer Software: Prepackaged Software
AKAM,Akamai Technologies Inc. Common Stock,United States,Consumer Discretionary,Business Services
AKAN,Akanda Corp. Common Shares,United Kingdom,Health Care, Medicinal Chemicals and Botanical Products 
AKBA,Akebia Therapeutics Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
AKRO,Akero Therapeutics Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
AKTS,Akoustis Technologies Inc. Common Stock,United States,Utilities,Telecommunications Equipment
AKTX,Akari Therapeutics plc ADS,United Kingdom,Health Care,Biotechnology: Pharmaceutical Preparations
AKYA,Akoya BioSciences Inc. Common Stock,United States,Industrials,Biotechnology: Laboratory Analytical Instruments
ALAB,Astera Labs Inc. Common Stock,United States,Technology,Semiconductors
ALAR,Alarum Technologies Ltd. American Depositary Share,Israel,Technology,Computer Software: Prepackaged Software
ALBT,Avalon GloboCare Corp. Common Stock,United States,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ALCE,Alternus Clean Energy Inc. Class A Common Stock,United States,Utilities,Power Generation
ALCO,Alico Inc. Common Stock,United States,,
ALCY,Alchemy Investments Acquisition Corp 1 Class A Ordinary Shares,United States,Finance,Blank Checks
ALDX,Aldeyra Therapeutics Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
ALEC,Alector Inc. Common Stock,United States,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ALF,Centurion Acquisition Corp. Class A Ordinary Shares,United States,,
ALFUU,Centurion Acquisition Corp. Unit,United States,,
ALFUW,Centurion Acquisition Corp. Warrant,United States,Finance,Blank Checks
ALGM,Allegro MicroSystems Inc. Common Stock,United States,Technology,Semiconductors
ALGN,Align Technology Inc. Common Stock,United States,Health Care,Industrial Specialties
