,Ticker,Name,Sector,Country,Is_In_TF
0,AAPL,Apple Inc.,Electronic Technology,EE.UU.,True
1,NVDA,NVIDIA Corporation,Electronic Technology,EE.UU.,True
2,MSFT,Microsoft Corporation,Technology Services,EE.UU.,True
3,GOOG,Alphabet Inc.,Technology Services,EE.UU.,True
4,AMZN,"Amazon.com, Inc.",Retail Trade,EE.UU.,True
5,META,"Meta Platforms, Inc.",Technology Services,EE.UU.,True
6,BRK.A,Berkshire Hathaway Inc.,Finance,EE.UU.,True
7,LLY,Eli Lilly and Company,Health Technology,EE.UU.,True
8,AVGO,Broadcom Inc.,Electronic Technology,EE.UU.,True
9,TSLA,"Tesla, Inc.",Consumer Durables,EE.UU.,True
10,JPM,JP Morgan Chase & Co.,Finance,EE.UU.,True
11,WMT,Walmart Inc.,Retail Trade,EE.UU.,True
12,UNH,UnitedHealth Group Incorporated,Health Services,EE.UU.,True
13,V,Visa Inc.,Commercial Services,EE.UU.,True
14,XOM,Exxon Mobil Corporation,Energy Minerals,EE.UU.,True
15,MA,Mastercard Incorporated,Commercial Services,EE.UU.,True
16,PG,Procter & Gamble Company (The),Consumer Non-Durables,EE.UU.,True
17,JNJ,Johnson & Johnson,Health Technology,EE.UU.,True
18,COST,Costco Wholesale Corporation,Retail Trade,EE.UU.,True
19,ORCL,Oracle Corporation,Technology Services,EE.UU.,True
20,HD,"Home Depot, Inc. (The)",Retail Trade,EE.UU.,True
21,ABBV,AbbVie Inc.,Health Technology,EE.UU.,True
22,BAC,Bank of America Corporation,Finance,EE.UU.,True
23,KO,Coca-Cola Company (The),Consumer Non-Durables,EE.UU.,True
24,MRK,"Merck & Company, Inc.",Health Technology,EE.UU.,True
25,NFLX,"Netflix, Inc.",Technology Services,EE.UU.,True
26,CVX,Chevron Corporation,Energy Minerals,EE.UU.,True
27,CRM,"Salesforce, Inc.",Technology Services,EE.UU.,True
28,AMD,"Advanced Micro Devices, Inc.",Electronic Technology,EE.UU.,True
29,ADBE,Adobe Inc.,Technology Services,EE.UU.,True
30,PEP,"PepsiCo, Inc.",Consumer Non-Durables,EE.UU.,True
31,TMUS,"T-Mobile US, Inc.",Communications,EE.UU.,True
32,TMO,Thermo Fisher Scientific Inc,Health Technology,EE.UU.,True
33,LIN,Linde plc,Process Industries,EE.UU.,True
34,ACN,Accenture plc,Technology Services,EE.UU.,True
35,MCD,McDonald's Corporation,Consumer Services,EE.UU.,True
36,CSCO,"Cisco Systems, Inc.",Electronic Technology,EE.UU.,True
37,ABT,Abbott Laboratories,Health Technology,EE.UU.,True
38,DHR,Danaher Corporation,Health Technology,EE.UU.,True
39,QCOM,QUALCOMM Incorporated,Electronic Technology,EE.UU.,True
40,WFC,Wells Fargo & Company,Finance,EE.UU.,True
41,TXN,Texas Instruments Incorporated,Electronic Technology,EE.UU.,True
42,PM,Philip Morris International Inc,Consumer Non-Durables,EE.UU.,True
43,PDD,PDD Holdings Inc.,Retail Trade,EE.UU.,True
44,GE,GE Aerospace,Producer Manufacturing,EE.UU.,True
45,IBM,International Business Machines Corporation,Technology Services,EE.UU.,True
46,BABA,Alibaba Group Holding Limited,Retail Trade,EE.UU.,True
47,AXP,American Express Company,Finance,EE.UU.,True
48,AMGN,Amgen Inc.,Health Technology,EE.UU.,True
49,VZ,Verizon Communications Inc.,Communications,EE.UU.,True
50,INTU,Intuit Inc.,Technology Services,EE.UU.,True
51,ISRG,"Intuitive Surgical, Inc.",Health Technology,EE.UU.,True
52,NOW,"ServiceNow, Inc.",Technology Services,EE.UU.,True
53,BX,Blackstone Inc.,Finance,EE.UU.,True
54,CAT,"Caterpillar, Inc.",Producer Manufacturing,EE.UU.,True
55,AMAT,"Applied Materials, Inc.",Producer Manufacturing,EE.UU.,True
56,MS,Morgan Stanley,Finance,EE.UU.,True
57,DIS,Walt Disney Company (The),Consumer Services,EE.UU.,True
58,PFE,"Pfizer, Inc.",Health Technology,EE.UU.,True
59,NEE,"NextEra Energy, Inc.",Utilities,EE.UU.,True
60,GS,"Goldman Sachs Group, Inc. (The)",Finance,EE.UU.,True
61,RTX,RTX Corporation,Electronic Technology,EE.UU.,True
62,SPGI,S&P Global Inc.,Commercial Services,EE.UU.,True
63,UBER,"Uber Technologies, Inc.",Transportation,EE.UU.,True
64,CMCSA,Comcast Corporation,Consumer Services,EE.UU.,True
65,UNP,Union Pacific Corporation,Transportation,EE.UU.,True
66,ARM,Arm Holdings plc,Electronic Technology,EE.UU.,True
67,LOW,"Lowe's Companies, Inc.",Retail Trade,EE.UU.,True
68,T,AT&T Inc.,Communications,EE.UU.,True
69,PGR,Progressive Corporation (The),Finance,EE.UU.,True
70,TJX,"TJX Companies, Inc. (The)",Retail Trade,EE.UU.,True
71,SYK,Stryker Corporation,Health Technology,EE.UU.,True
72,LMT,Lockheed Martin Corporation,Electronic Technology,EE.UU.,True
73,REGN,"Regeneron Pharmaceuticals, Inc.",Health Technology,EE.UU.,True
74,HON,Honeywell International Inc.,Electronic Technology,EE.UU.,True
75,BLK,"BlackRock, Inc.",Finance,EE.UU.,True
76,COP,ConocoPhillips,Energy Minerals,EE.UU.,True
77,BKNG,Booking Holdings Inc. Common Stock,Consumer Services,EE.UU.,True
78,ELV,"Elevance Health, Inc.",Health Services,EE.UU.,True
79,NKE,"Nike, Inc.",Consumer Non-Durables,EE.UU.,True
80,VRTX,Vertex Pharmaceuticals Incorporated,Health Technology,EE.UU.,True
81,ETN,"Eaton Corporation, PLC",Producer Manufacturing,EE.UU.,True
82,C,"Citigroup, Inc.",Finance,EE.UU.,True
83,SCHW,Charles Schwab Corporation (The),Finance,EE.UU.,True
84,BSX,Boston Scientific Corporation,Health Technology,EE.UU.,True
85,MU,"Micron Technology, Inc.",Electronic Technology,EE.UU.,True
86,PANW,"Palo Alto Networks, Inc.",Technology Services,EE.UU.,True
87,ADI,"Analog Devices, Inc.",Electronic Technology,EE.UU.,True
88,MDT,Medtronic plc.,Health Technology,EE.UU.,True
89,ANET,"Arista Networks, Inc.",Electronic Technology,EE.UU.,True
90,CB,Chubb Limited,Finance,EE.UU.,True
91,LRCX,Lam Research Corporation,Producer Manufacturing,EE.UU.,True
92,ADP,"Automatic Data Processing, Inc.",Technology Services,EE.UU.,True
93,KLAC,KLA Corporation,Electronic Technology,EE.UU.,True
94,MMC,"Marsh & McLennan Companies, Inc.",Finance,EE.UU.,True
95,UPS,"United Parcel Service, Inc.",Transportation,EE.UU.,True
96,KKR,KKR & Co. Inc.,Finance,EE.UU.,True
97,BA,Boeing Company (The),Electronic Technology,EE.UU.,True
98,SBUX,Starbucks Corporation,Consumer Services,EE.UU.,True
99,DE,Deere & Company,Producer Manufacturing,EE.UU.,True
100,MELI,"MercadoLibre, Inc.",Retail Trade,EE.UU.,True
101,HCA,"HCA Healthcare, Inc.",Health Services,EE.UU.,True
102,CI,The Cigna Group,Health Services,EE.UU.,True
103,SHOP,Shopify Inc.,Technology Services,EE.UU.,True
104,FI,"Fiserv, Inc.",Finance,EE.UU.,True
105,BMY,Bristol-Myers Squibb Company,Health Technology,EE.UU.,True
106,GILD,"Gilead Sciences, Inc.",Health Technology,EE.UU.,True
107,MDLZ,"Mondelez International, Inc.",Consumer Non-Durables,EE.UU.,True
108,SO,Southern Company (The),Utilities,EE.UU.,True
109,ICE,Intercontinental Exchange Inc.,Finance,EE.UU.,True
