id;name
1;ACCIONA
2;ACCIONA ENER
3;ACERINOX
4;ACS
5;AENA
6;AMADEUS IT GROUP
7;ARCELORMITTAL
8;BANCO SABADELL
9;BANKINTER
10;BBVA
11;CAIXABANK
12;CELLNEX TELECOM
13;COLONIAL
14;ENAGAS
15;ENDESA
16;FERROVIAL
17;FLUIDRA
18;GRIFOLS
19;IAG
20;IBERDROLA
21;INDITEX
22;INDRA
23;LOGISTA
24;MAPFRE
25;MERLIN PROP.
26;NATURGY
27;PUIG BRANDS B
28;REDEIA
29;REPSOL
30;ROVI
31;SACYR
32;SANTANDER
33;SOLARIA
34;TELEFONICA
35;UNICAJA BANCO
36;AAON
37;ACACIA RES AC TECHS
38;ACADIA PHARMACEUTICALS
39;ACCURAY DEL
40;ACHIEVE LIFE SCIENCES
41;ACI WORLDWIDE
42;ADOBE SYS IN
43;ADVANCED EMISSIONS SOLUTIONS
44;ADVANCED ENERGY INDUSTRIES
45;AEHR TEST SYSTEMS
46;AEROVIRONMENT
47;AGILYSYS
48;AGNC INVESTMENT
49;AIR T
50;AIR TRANSPORT SERVICES GROUP
51;AKAMAI TECHNOLOGIES INC
52;ALICO INC.
53;ALIGN TECHNOLOGY
54;ALLEGIANT TRAVEL
55;ALLIANCE RESOURCE
56;ALLIED MOTION TECHNOLOGIES
57;ALLOT
58;ALNYLAM PHARMACEUTICALS
59;ALPHATEC HOLDINGS
60;ALTIGEN COMMUNICATIONS INC
61;AMARIN SP ADR 1 SH
62;AMAZON
63;AMEDISYS
64;AMER SOFTWARE-A
65;AMER SUPERCONDUCTOR
66;AMERICA S CAR-MART
67;AMERICAN OUTDOOR BRANDS CORP
68;AMERICAN PUBLIC EDUCATION
69;AMERICAN WOODMARK
70;AMERISAFE
71;AMERISERV FINANCIAL
72;AMES NATIONAL
73;AMGEN
74;AMICUS THERAPEUTICS
75;AMKOR TECHNOLOGY INC
76;AMTECH SYSTEMS
77;ANDERSONS
78;ANGIODYNAMICS
79;ANGLO AMERICAN ADR
80;ANI PHARMACEUTICALS
81;ANIKA THERAPEUTICS
82;ANSYS
83;APOGEE ENTERPRISES
84;APPLE COMPUTER
85;APPLIANCE RECYC CTR
86;APPLIED MATERIALS
87;ARCA BIOPHARMA
88;ARCBEST
89;ARCH CAP GRP
90;ARK REST CORP
