id;name
1;British American Tobacco
2;HSBC
3;Barclays
4;InterContinental
5;BP
6;Next
7;Lloyds Banking
8;EasyJet
9;Marks & Spencer
10;NatWest Group
11;Prudential
12;Vodafone Group PLC
13;AstraZeneca
14;Legal & General
15;Imperial Brands
16;Reckitt Benckiser
17;Kingfisher
18;Relx
19;Centrica
20;3I Group
21;WPP
22;Tesco
23;Diageo
24;Hikma Pharma
25;F&C Invest
26;Rio Tinto PLC
27;Anglo American
28;Bunzl
29;Burberry Group
30;GSK plc
31;Barratt Developments
32;Aviva
33;Sage
34;Pearson
35;Associated British Foods
36;London Stock Exchange
37;BAE Systems
38;Antofagasta
39;Rolls-Royce Holdings
40;Whitbread
41;Vistry Group
42;Persimmon
43;Admiral Group
44;United Utilities
45;Unilever
46;SSE
47;Standard Chartered
48;Informa
49;Weir Group
50;Severn Trent
51;Smiths Group
52;Melrose Industries
53;Smith & Nephew
54;Intertek
55;Mondi
56;J Sainsbury
57;Croda Intl
58;National Grid
59;IMI PLC
60;BT Group
61;Segro
62;Schroders
63;Rentokil
64;Compass
65;Intermediate Capital
66;Land Securities
67;Scottish Mortgage
68;Halma
69;Rightmove
70;Frasers
71;DS Smith
72;Taylor Wimpey
73;Spirax-Sarco Engineering
74;Ashtead Group
75;Unite
76;Flutter Entertainment
77;Beazley
78;Fresnillo
79;Experian
80;Berkeley
81;Howden Joinery
82;Glencore
83;IAG
84;JD Sports Fashion
85;Londonmetric Property
86;Phoenix
87;Smurfit Kappa
88;DCC
89;Shell
90;Entain
91;Diploma
92;Coca Cola HBC AG
93;Auto Trader Group Plc
94;B&M European Value Retail SA
95;ConvaTec Group
96;Pershing Square
97;M&G
98;Airtel Africa
99;Darktrace
100;HALEON
