id;name
1;AAON
2;ACACIA RES AC TECHS
3;ACADIA PHARMACEUTICALS
4;ACCURAY DEL
5;ACHIEVE LIFE SCIENCES
6;ACI WORLDWIDE
7;ADOBE SYS IN
8;ADVANCED EMISSIONS SOLUTIONS
9;ADVANCED ENERGY INDUSTRIES
10;AEHR TEST SYSTEMS
11;AEROVIRONMENT
12;AGILYSYS
13;AGNC INVESTMENT
14;AIR T
15;AIR TRANSPORT SERVICES GROUP
16;AKAMAI TECHNOLOGIES INC
17;ALICO INC.
18;ALIGN TECHNOLOGY
19;ALLEGIANT TRAVEL
20;ALLIANCE RESOURCE
21;ALLIED MOTION TECHNOLOGIES
22;ALLOT
23;ALNYLAM PHARMACEUTICALS
24;ALPHATEC HOLDINGS
25;ALTIGEN COMMUNICATIONS INC
26;AMARIN SP ADR 1 SH
27;AMAZON
28;AMEDISYS
29;AMER SOFTWARE-A
30;AMER SUPERCONDUCTOR
31;AMERICA S CAR-MART
32;AMERICAN OUTDOOR BRANDS CORP
33;AMERICAN PUBLIC EDUCATION
34;AMERICAN WOODMARK
35;AMERISAFE
36;AMERISERV FINANCIAL
37;AMES NATIONAL
38;AMGEN
39;AMICUS THERAPEUTICS
40;AMKOR TECHNOLOGY INC
41;AMTECH SYSTEMS
42;ANDERSONS
43;ANGIODYNAMICS
44;ANGLO AMERICAN ADR
45;ANI PHARMACEUTICALS
46;ANIKA THERAPEUTICS
47;ANSYS
48;APOGEE ENTERPRISES
49;APPLE COMPUTER
50;APPLIANCE RECYC CTR
51;APPLIED MATERIALS
52;ARCA BIOPHARMA
53;ARCBEST
54;ARCH CAP GRP
55;ARK REST CORP
56;ARROW FINANCIAL
57;ARROWHEAD PHARMACEUTICALS
58;ART S-WAY MANUFACTURING CO
59;ARTESIAN RES-A
60;ASGN
61;ASML HOLDING
62;ASSD BANC-CORP
63;ASTEC IND INC
64;ASTRONICS
65;ASTRONOVA
66;ASURE SOFTWARE
67;ATA ADR
68;ATLANTIC AM CORP
69;ATLANTIC TELE-NETWK
70;ATLANTICUS HOLDINGS
71;ATRICURE
72;ATRION CORP
73;AUBURN NATL BANCORP
74;AUDIOCODES
75;AUTO PARTS NETWORK
76;AUTODESK INC
77;AVIAT NETWORKS
78;AVID BIOSERVICES INC
79;AWARE
80;AXCELIS TECHNOLOGIES
81;AXON ENTERPRISE
82;AXT
83;BAIDU.COM ADS
84;BALCHEM
85;BANC OF CALIFORNIA
86;BANCFIRST
87;BANK OF MARIN BANCORP
88;BANK OZK
89;BANKFINANCIAL
90;BANNER
91;BARRETT BUS SVCS
92;BASSETT FURN IND
93;BCB BANCORP
94;BEACON ROOFING SUPPLY
95;BEASLEY BROADCAST GROUP CL A
96;BEL FUSE B
97;BEL FUSE-A
98;BERKSHIRE HILLS BANCORP
99;BIG 5 SPORTING GOODS
100;BIO TECHNE
101;BIOANALYTICAL SYSTEMS
102;BIOCRYST PHARMACEUTICAL
103;BIOGEN IDEC
104;BIOMARIN PHARMACEUTICAL
105;BIOSCRIP
106;BJ S RESTAURANTS
107;BLACKBAUD
108;BOK FINANCIAL
109;Booking Hldg Rg
110;BOS BETTER ONLINE SOLUTIONS
111;BRIDGE BANCORP
112;BRIDGELINE DIGITAL
113;BRIDGFORD FOODS
114;BROOKLINE BANCORP
115;BROOKS AUTOMATION
116;BRUKER
117;C & F FINANCIAL
118;C H ROBINSON
119;C V D EQUIPMENT
120;CADENCE DESI
121;CADIZ
122;CALAVO GROWERS
123;CAL-MAINE FOODS
124;CAMDEN NATIONAL
125;CAMTEK
126;CANADIAN SOLAR
127;CAPITAL CITY BK GRP
128;CAPITAL PRODUCT PARTNERS
129;CAPITAL SOUTHWEST
130;CAPRICOR THERAPEUTICS
131;CAREER EDUCA
132;CARVER BANCORP
133;CASELLA WASTE SYS-A
134;CASEY S GEN STOR
135;CASS INFO SYS
136;CASSAVA SCIENCES
137;CATALYST PHARMACEUTICAL
138;CATHAY GENERAL BANCORP
139;CAVCO INDUSTRIES
140;CBAK ENERGY TECHNOLOGY
141;CECO ENVIRONMENTAL
142;CELLDEX THERAPEUTICS
143;CENTRAL FEDERAL
144;CENTRAL GARDEN & PET CLASS A
145;CENTRAL GARDEN & PET CO
146;CENTURY ALUMINUM
147;CENTURY CASINOS
148;CERAGON NETWORKS
149;CERUS
150;CEVA
151;CHARLES SCHWAB CORP
152;CHECK POINT
153;CHEESECAKE FACTORY
154;CHILDREN S PLACE
155;CHINA AUTOMOTIVE SYSTEMS
156;CHURCHILL DOWNS
157;CIENA CORP
158;CINCINNATI F
159;CINTAS
160;CIRRUS LOGIC
161;CISCO SYSTEMS
162;CITI TRENDS
163;CITIZENS & NORTHERN
164;CITIZENS COMMNTY BANCORP MD
165;CITY HOLDING CO
166;CIVISTA BANCSHARES
167;CLEAN ENERGY FUELS
168;CLEAN HARBORS
169;CLEARFIELD
170;CLEARONE
171;CNB FINL
172;COCA COLA CONSOLIDATED
173;COGENT COMM GROUP
174;COGNEX
175;COGNIZANT
176;COHU INC.
177;COLLIERS INTERNATIONAL GROUP
178;COLONY BANK
179;COLUMBIA BANKING SYSTEM
180;COLUMBIA SPORTSWEAR
181;COLUMBUS MCKINNON
182;COMCAST CL A
183;COMMERCE BANCSHARES
184;COMMERCIAL VEHICLE GROUP
185;COMMUNITY TRUST BANCORP
186;COMMVAULT SYSTEMS
187;COMPASS DIVERSIFIED HOLDINGS
188;COMPUGEN
189;COMPUTER PROGRAMS & SYSTEMS
190;COMSTOCK HOLDING CO CL A
191;COMTECH TELECOMM
192;CONN S
193;CONNECTONE BANCORP
194;CONSDATED COMM ILLINOIS HLDING
195;CONSOLIDATED WATER
196;CONSUMER PTFL SVCS
197;COPART
198;CORCEPT THERAPEUTICS
199;CORVEL
200;COSTAR GROUP
201;COSTCO INC
202;COVENANT TRANSPORT CLASS A
203;CRA INTERATIONAL
